Name,Score,Type,Episodes,Aired,Studios,Premiered
Natsume Yuujinchou Roku,8.61,TV,11,"Apr 12, 2017 to Jun 21, 2017",Shuka,Spring 2017
Kenpuu Denki Berserk,8.60,TV,25,"Oct 8, 1997 to Apr 1, 1998",OLM,Fall 1997
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.60,Movie,1,"Jan 17, 2020",Kinema Citrus,N/A
Made in Abyss: Retsujitsu no Ougonkyou,8.60,TV,12,"Jul 6, 2022 to Sep 28, 2022",Kinema Citrus,Summer 2022
Dungeon Meshi,8.60,TV,24,"Jan 4, 2024 to Jun 13, 2024",Trigger,Winter 2024
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.60,Movie,1,"Apr 22, 2009",Gainax,N/A
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,Movie,1,"Jun 15, 2019",CloverWorks,N/A
Suzumiya Haruhi no Shoushitsu,8.59,Movie,1,"Feb 6, 2010",Kyoto Animation,N/A
Shin Evangelion Movie:||,8.58,Movie,1,"Mar 8, 2021",Khara,N/A
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV,39,"Oct 6, 2018 to Jul 28, 2019",David Production,Fall 2018
Mushishi Zoku Shou: Suzu no Shizuku,8.58,Movie,1,"May 16, 2015",Artland,N/A
Nana,8.57,TV,47,"Apr 5, 2006 to Mar 28, 2007",Madhouse,Spring 2006
Natsume Yuujinchou Shichi,8.57,TV,12,"Oct 8, 2024 to Dec 24, 2024",Shuka,Fall 2024
Kizumonogatari II: Nekketsu-hen,8.56,Movie,1,"Aug 19, 2016",Shaft,N/A
Natsume Yuujinchou Go,8.56,TV,11,"Oct 5, 2016 to Dec 21, 2016",Shuka,Fall 2016
Natsume Yuujinchou San,8.56,TV,13,"Jul 5, 2011 to Sep 27, 2011",Brain&#039;s Base,Summer 2011
Ookami Kodomo no Ame to Yuki,8.56,Movie,1,"Jul 21, 2012",Studio Chizu,N/A
Shingeki no Kyojin,8.56,TV,25,"Apr 7, 2013 to Sep 29, 2013",Wit Studio,Spring 2013
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,Movie,1,"Jul 19, 1997",Gainax,N/A
Uma Musume: Cinderella Gray,8.56,TV,13,"Apr 6, 2025 to Jun 29, 2025",CygamesPictures,Spring 2025
[Oshi no Ko],8.56,TV,11,"Apr 12, 2023 to Jun 28, 2023",Doga Kobo,Spring 2023
Doupo Cangqiong: San Nian Zhi Yue,8.56,ONA,13,"Oct 31, 2021 to Jan 16, 2022",Motion Magic,N/A
Haikyuu!! To the Top Part 2,8.56,TV,12,"Oct 3, 2020 to Dec 19, 2020",Production I.G,Fall 2020
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.55,Movie,1,"Oct 16, 2020",ufotable,N/A
Kimi no Suizou wo Tabetai,8.55,Movie,1,"Sep 1, 2018",Studio VOLN,N/A
Perfect Blue,8.55,Movie,1,"Feb 28, 1998",Madhouse,N/A
Shouwa Genroku Rakugo Shinjuu,8.55,TV,13,"Jan 9, 2016 to Apr 2, 2016",Studio Deen,Winter 2016
Slam Dunk,8.55,TV,101,"Oct 16, 1993 to Mar 23, 1996",Toei Animation,Fall 1993
Yojouhan Shinwa Taikei,8.55,TV,11,"Apr 23, 2010 to Jul 2, 2010",Madhouse,Spring 2010
[Oshi no Ko] 2nd Season,8.55,TV,13,"Jul 3, 2024 to Oct 6, 2024",Doga Kobo,Summer 2024
Steins;Gate 0,8.54,TV,23,"Apr 12, 2018 to Sep 27, 2018",White Fox,Spring 2018
Fate/Zero 2nd Season,8.54,TV,12,"Apr 8, 2012 to Jun 24, 2012",ufotable,Spring 2012
Fruits Basket 2nd Season,8.53,TV,25,"Apr 7, 2020 to Sep 22, 2020",TMS Entertainment,Spring 2020
Hotaru no Haka,8.53,Movie,1,"Apr 16, 1988",Studio Ghibli,N/A
Shingeki no Kyojin Season 2,8.53,TV,12,"Apr 1, 2017 to Jun 17, 2017",Wit Studio,Spring 2017
Zoku Natsume Yuujinchou,8.53,TV,13,"Jan 6, 2009 to Mar 31, 2009",Brain&#039;s Base,Winter 2009
Jujutsu Kaisen,8.53,TV,24,"Oct 3, 2020 to Mar 27, 2021",MAPPA,Fall 2020
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.52,ONA,14,"Dec 1, 2022",David Production,N/A
Mushishi: Hihamukage,8.52,TV Special,1,"Jan 4, 2014",Artland,N/A
Bakuman. 3rd Season,8.52,TV,25,"Oct 6, 2012 to Mar 30, 2013",J.C.Staff,Fall 2012
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie,1,"Apr 24, 2010",Sunrise,N/A
Grand Blue Season 2,8.52,TV,12,"Jul 8, 2025 to Sep 23, 2025",Zero-G,Summer 2025
Samurai Champloo,8.52,TV,26,"May 20, 2004 to Mar 19, 2005",Manglobe,Spring 2004
Kara no Kyoukai Movie 5: Mujun Rasen,8.51,Movie,1,"Aug 16, 2008",ufotable,N/A
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,TV,26,"Jan 1, 2004 to Jan 8, 2005",Production I.G,Winter 2004
Nezha Zhi Mo Tong Nao Hai,8.51,Movie,1,"Jan 29, 2025",October Media,N/A
Dandadan 2nd Season,8.51,TV,12,"Jul 4, 2025 to Sep 19, 2025",Science SARU,Summer 2025
Dr. Stone: Science Future Part 2,8.51,TV,12,"Jul 10, 2025 to Sep 25, 2025",TMS Entertainment,Summer 2025
Gintama. Porori-hen,8.51,TV,13,"Oct 2, 2017 to Dec 25, 2017",Bandai Namco Pictures,Fall 2017
Shoujo☆Kageki Revue Starlight Movie,8.50,Movie,1,"Jun 4, 2021",Kinema Citrus,N/A
Sora yori mo Tooi Basho,8.50,TV,13,"Jan 2, 2018 to Mar 27, 2018",Madhouse,Winter 2018
Tian Guan Cifu Special,8.50,ONA,1,"Feb 16, 2021",Haoliners Animation League,N/A
Yuru Camp△ Season 2,8.50,TV,13,"Jan 7, 2021 to Apr 1, 2021",C-Station,Winter 2021
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV,39,"Apr 2, 2016 to Dec 24, 2016",David Production,Spring 2016
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.50,Movie,1,"Oct 26, 2013",Shaft,N/A
Mob Psycho 100,8.49,TV,12,"Jul 11, 2016 to Sep 27, 2016",Bones,Summer 2016
Ousama Ranking,8.49,TV,23,"Oct 15, 2021 to Mar 25, 2022",Wit Studio,Fall 2021
One Punch Man,8.48,TV,12,"Oct 5, 2015 to Dec 21, 2015",Madhouse,Fall 2015
Uchuu Kyoudai,8.48,TV,99,"Apr 1, 2012 to Mar 22, 2014",A-1 Pictures,Spring 2012
Yakusoku no Neverland,8.48,TV,12,"Jan 11, 2019 to Mar 29, 2019",CloverWorks,Winter 2019
Summertime Render,8.47,TV,25,"Apr 15, 2022 to Sep 30, 2022",OLM,Spring 2022
Ansatsu Kyoushitsu 2nd Season,8.47,TV,25,"Jan 8, 2016 to Jul 1, 2016",Lerche,Winter 2016
Aria the Origination,8.47,TV,13,"Jan 8, 2008 to Apr 1, 2008",HAL Film Maker,Winter 2008
Dandadan,8.47,TV,12,"Oct 4, 2024 to Dec 20, 2024",Science SARU,Fall 2024
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.47,Movie,1,"Jan 12, 2019",ufotable,N/A
Mo Dao Zu Shi: Xian Yun Pian,8.47,ONA,8,"Aug 3, 2019 to Sep 21, 2019",B.CMAY PICTURES,N/A
Nichijou,8.47,TV,26,"Apr 3, 2011 to Sep 25, 2011",Kyoto Animation,Spring 2011
Mo Dao Zu Shi,8.46,ONA,15,"Jul 9, 2018 to Oct 6, 2018",B.CMAY PICTURES,N/A
Rainbow: Nisha Rokubou no Shichinin,8.46,TV,26,"Apr 7, 2010 to Sep 29, 2010",Madhouse,Spring 2010
Yuu☆Yuu☆Hakusho,8.46,TV,112,"Oct 10, 1992 to Jan 7, 1995",Studio Pierrot,Fall 1992
Gintama: The Semi-Final,8.46,Special,2,"Jan 15, 2021 to Jan 20, 2021",Bandai Namco Pictures,N/A
Given Movie 3: Umi e,8.46,Movie,1,"Sep 20, 2024",Lerche,N/A
Banana Fish,8.45,TV,24,"Jul 6, 2018 to Dec 21, 2018",MAPPA,Summer 2018
